temp,hum,occ,CO2,occupancy_level
32.35117532,37.04674546,4,520.5110636,2
32.34830681,37.06719044,4,520.3247781,2
32.34494282,37.09581436,4,524.1501908,2
32.3253068,37.08684809,4,524.9823982,2
32.31899871,37.07447983,4,525.0077296,2
32.31104513,37.06265592,4,525.7922683,2
32.30877522,37.03953848,4,527.7583431,2
32.30476064,37.01097218,4,527.9542247,2
32.3042219,36.97644347,4,527.1177327,2
32.31345834,36.94621114,4,523.2245735,2
32.32383782,36.94892321,4,523.5701293,2
32.33350377,36.98948381,4,524.8459489,2
32.3268138,37.02331525,4,523.9915932,2
32.32251957,37.04267752,4,523.2899849,2
32.31616473,37.0676092,4,524.6542354,2
32.31340853,37.0724211,4,526.241084,2
32.30176892,37.03947515,4,528.6665363,2
32.28834573,36.9788485,4,528.5108323,2
32.28417515,36.92452946,4,526.7553665,2
32.28775586,36.87092305,4,525.0938046,2
32.28902604,36.84436304,4,524.8951454,2
32.28259605,36.85445353,4,524.3488413,2
32.2774712,36.86823958,4,524.1700267,2
32.27977737,36.89686233,4,524.0384779,2
32.27776658,36.94357182,4,526.1816273,2
32.2780803,36.98195192,4,529.7247084,2
32.27407007,37.01459414,4,529.371826,2
32.26475061,37.02615917,4,526.4278757,2
32.25994341,37.00367284,4,527.3066112,2
32.25237564,36.96014694,4,529.1266002,2
32.25048239,36.92155077,4,528.2077265,2
32.24916981,36.87226516,4,526.2579559,2
32.25440346,36.82071344,4,526.5018692,2
32.25431783,36.81748951,4,525.2194328,2
32.2566773,36.84707418,4,524.8771119,2
32.25772595,36.88795534,4,522.4789837,2
32.25746379,36.93863355,4,520.3653205,2
32.2558908,36.96534915,4,518.2329114,2
32.25300701,36.9683001,4,519.4314715,2
32.25281957,36.96528721,4,518.4046573,2
32.25006686,36.95472524,4,521.7703737,2
32.25096302,36.9536251,4,524.9762966,2
32.24930265,36.96893477,4,526.7101846,2
32.25,36.98201766,4,529.3672791,2
32.25,36.95754122,4,531.7231939,2
32.25,36.94805977,4,529.4246433,2
32.25,36.94046277,4,526.8332003,2
32.25,36.91869712,4,527.2037311,2
